"","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population"
""," 2016"," 2016"," 2016"," 2015"," 2015"," 2015"," 2010"," 2010"," 2010"," 2005"," 2005"," 2005"," 2000"," 2000"," 2000"
"Country"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Tunisia","1.7","2.6","0.8","1.7","2.7","0.8","1.9","3.0","0.9","2.2","3.5","1.0","2.2","3.4","1.0"
"Turkey","2.7","4.4","1.0","2.7","4.5","1.0","3.1","5.1","1.1","5.6","9.6","1.7","5.0","8.9","1.2"
"Turkmenistan","4.2","6.6","1.9","4.3","6.7","1.9","4.5","7.2","1.9","4.8","7.9","1.8","5.2","8.5","2.0"
"Uganda","12.6","20.1","5.1","12.6","20.1","5.1","10.9","17.8","4.0","10.0","16.9","3.3","10.2","17.4","3.1"
"Ukraine","4.6","7.0","2.5","4.6","7.0","2.5","6.1","9.3","3.3","9.8","15.1","5.2","15.8","24.0","8.7"
"United Arab Emirates","3.8","4.8","1.1","3.9","4.9","1.2","4.6","5.8","1.3","7.1","9.3","1.9","6.9","9.2","2.1"
"United Kingdom of Great Britain and Northern Ireland","1.3","1.6","1.0","1.4","1.7","1.0","1.6","2.1","1.1","1.9","2.5","1.4","2.1","2.8","1.5"
"United Republic of Tanzania","7.7","11.9","3.7","7.8","11.9","3.7","7.9","12.3","3.7","8.9","14.1","3.7","9.8","15.8","3.9"
"United States of America","6.5","10.6","2.6","6.0","9.7","2.3","5.5","8.7","2.4","6.3","10.1","2.6","6.1","9.5","2.9"
"Uruguay","7.4","12.7","2.5","7.4","12.7","2.6","6.0","10.2","2.2","5.7","9.3","2.3","6.4","10.8","2.3"
"Uzbekistan","1.9","2.9","0.9","1.9","2.9","0.9","3.4","5.2","1.5","3.6","5.8","1.5","3.9","6.1","1.7"
"Vanuatu","2.5","3.6","1.3","2.5","3.7","1.3","2.7","4.0","1.4","3.0","4.4","1.5","3.5","5.1","1.9"
